city,timestamp,pm2_5,pm10,no2,so2,o3,co,temp_c,humidity,windspeed_kph,pressure_mb
Chandigarh,1772744400,65.56,92.92,8.22,2.64,27.73,427.14,26.9,22,11.988000000000001,1007
Chandigarh,1772748000,66.85,94.15,7.75,2.03,21.45,431.64,26.9,22,11.988000000000001,1007
Chandigarh,1772751600,68.79,96.39,7.55,1.55,15.42,439.9,26.9,22,11.988000000000001,1007
Chandigarh,1772755200,71.12,99.68,7.72,1.3,10.62,452.16,26.9,22,11.988000000000001,1007
Chandigarh,1772758800,74.12,104.71,8.44,1.32,6.26,478.77,26.9,22,11.988000000000001,1007
Chandigarh,1772762400,77.61,111.82,9.64,1.62,2.49,535.53,26.9,22,11.988000000000001,1007
Chandigarh,1772766000,79.62,117.63,7.29,1.81,4.27,597.73,26.9,22,11.988000000000001,1007
Chandigarh,1772769600,79.34,120.9,5.83,1.87,7.77,629.8,26.9,22,11.988000000000001,1007
Chandigarh,1772773200,79.77,123.74,7.14,1.91,15.1,643.39,26.9,22,11.988000000000001,1007
Chandigarh,1772776800,85.18,131.11,9.35,1.94,36.16,644.84,26.9,22,11.988000000000001,1007
Chandigarh,1772780400,84.43,138.2,4.0,6.81,123.16,445.4,26.9,22,11.988000000000001,1007
Chandigarh,1772784000,85.68,140.67,2.52,7.35,142.28,400.76,26.9,22,11.988000000000001,1007
Chandigarh,1772787600,85.81,141.28,2.32,7.64,151.3,378.18,26.9,22,11.988000000000001,1007
Chandigarh,1772791200,86.79,142.27,3.68,7.28,134.56,380.01,26.9,22,11.988000000000001,1007
Chandigarh,1772794800,88.27,143.59,6.67,6.04,103.25,413.81,26.9,22,11.988000000000001,1007
Chandigarh,1772798400,88.41,144.56,11.14,5.43,79.96,457.36,26.9,22,11.988000000000001,1007
Chandigarh,1772802000,89.51,147.11,16.67,5.4,62.58,513.04,26.9,22,11.988000000000001,1007
Chandigarh,1772805600,93.08,152.6,20.18,5.87,50.27,579.74,26.9,22,11.988000000000001,1007
Jaipur,1772413200,47.33,90.03,6.66,1.38,42.43,308.69,25.69,14,10.404,1009
Jaipur,1772416800,46.98,89.33,8.5,1.55,40.55,322.54,25.69,14,10.404,1009
Jaipur,1772420400,46.97,89.94,10.41,1.7,37.79,347.11,25.69,14,10.404,1009
Jaipur,1772424000,46.78,91.06,9.34,1.83,40.72,361.44,25.69,14,10.404,1009
Jaipur,1772427600,47.37,93.22,8.22,2.03,50.66,361.72,25.69,14,10.404,1009
Jaipur,1772431200,51.63,100.77,6.94,2.29,72.91,350.76,25.69,14,10.404,1009
Jaipur,1772434800,46.8,124.25,1.26,3.83,129.3,184.82,25.69,14,10.404,1009
Jaipur,1772438400,45.88,129.29,0.72,2.91,130.58,167.09,25.69,14,10.404,1009
Jaipur,1772442000,45.67,129.92,0.73,2.63,129.99,163.85,25.69,14,10.404,1009
Jaipur,1772445600,46.99,128.75,2.27,2.54,122.82,181.99,25.69,14,10.404,1009
Jaipur,1772449200,48.61,126.4,5.41,2.5,110.77,217.05,25.69,14,10.404,1009
Jaipur,1772452800,49.79,125.13,10.18,2.51,96.32,257.68,25.69,14,10.404,1009
Jaipur,1772456400,50.89,124.78,15.12,2.67,82.42,297.77,25.69,14,10.404,1009
Jaipur,1772460000,52.47,125.64,16.95,3.02,73.78,331.84,25.69,14,10.404,1009
Jaipur,1772463600,54.12,126.4,17.62,3.51,69.55,357.8,25.69,14,10.404,1009
Jaipur,1772467200,55.29,125.0,17.13,3.78,65.29,370.44,25.69,14,10.404,1009
Jaipur,1772470800,56.81,124.53,16.69,3.54,59.83,388.02,25.69,14,10.404,1009
Jaipur,1772474400,57.48,121.88,16.17,2.94,53.81,398.52,25.69,14,10.404,1009
Jaipur,1772478000,56.87,117.01,14.47,2.29,49.03,391.45,25.69,14,10.404,1009
Jaipur,1772481600,57.15,115.25,12.43,1.96,46.24,386.37,25.69,14,10.404,1009
Jaipur,1772485200,57.96,115.38,10.73,1.73,44.11,382.99,25.69,14,10.404,1009
Jaipur,1772488800,58.48,115.4,9.39,1.55,41.85,377.45,25.69,14,10.404,1009
Jaipur,1772492400,59.06,116.11,8.48,1.34,39.32,374.93,25.69,14,10.404,1009
Jaipur,1772496000,59.82,118.71,8.1,1.19,37.18,373.8,25.69,14,10.404,1009
Jaipur,1772499600,60.5,127.05,8.11,1.42,39.19,360.55,25.69,14,10.404,1009
Jaipur,1772503200,61.42,135.44,11.07,1.77,36.15,386.28,25.69,14,10.404,1009
Jaipur,1772506800,62.62,144.72,13.54,2.18,36.12,424.46,25.69,14,10.404,1009
Jaipur,1772510400,62.85,153.05,12.01,2.53,43.69,435.69,25.69,14,10.404,1009
Jaipur,1772514000,63.5,156.85,10.26,2.86,57.1,424.3,25.69,14,10.404,1009
Jaipur,1772517600,69.16,164.34,8.49,3.24,84.16,414.06,25.69,14,10.404,1009
Jaipur,1772521200,52.78,153.2,1.65,3.57,136.46,205.05,25.69,14,10.404,1009
Jaipur,1772524800,44.58,128.78,0.88,2.67,138.44,166.53,25.69,14,10.404,1009
Jaipur,1772528400,41.1,115.83,0.86,2.49,139.55,157.81,25.69,14,10.404,1009
Jaipur,1772532000,40.08,107.85,1.78,2.5,138.03,165.52,25.69,14,10.404,1009
Jaipur,1772535600,39.99,101.91,3.72,2.56,131.75,185.65,25.69,14,10.404,1009
Jaipur,1772539200,39.97,97.57,6.85,2.62,121.61,211.31,25.69,14,10.404,1009
Jaipur,1772542800,40.45,94.24,12.01,2.75,101.77,252.49,25.69,14,10.404,1009
Jaipur,1772546400,41.74,92.31,15.66,3.03,81.97,302.98,25.69,14,10.404,1009
Jaipur,1772550000,43.13,91.63,17.86,3.38,68.26,344.84,25.69,14,10.404,1009
Jaipur,1772553600,44.17,91.72,18.94,3.57,58.16,375.08,25.69,14,10.404,1009
Jaipur,1772557200,45.91,94.84,19.94,3.73,52.47,404.82,25.69,14,10.404,1009
Jaipur,1772560800,47.53,97.54,20.85,3.99,49.9,427.68,25.69,14,10.404,1009
Jaipur,1772564400,48.76,98.14,20.24,4.2,48.98,428.28,25.69,14,10.404,1009
Jaipur,1772568000,50.19,99.7,18.32,4.37,48.53,429.13,25.69,14,10.404,1009
Jaipur,1772571600,51.13,100.63,15.74,4.36,47.85,423.75,25.69,14,10.404,1009
Jaipur,1772575200,50.99,100.11,12.97,4.05,47.77,411.55,25.69,14,10.404,1009
Jaipur,1772578800,51.37,100.48,10.66,3.57,49.31,396.58,25.69,14,10.404,1009
Jaipur,1772582400,51.93,100.98,9.41,3.02,51.32,384.61,25.69,14,10.404,1009
Jaipur,1772586000,51.41,99.31,9.64,2.61,51.14,374.49,25.69,14,10.404,1009
Jaipur,1772589600,51.07,98.22,12.57,2.66,46.54,395.63,25.69,14,10.404,1009
Jaipur,1772593200,50.94,96.48,14.85,2.84,42.18,432.33,25.69,14,10.404,1009
Jaipur,1772596800,50.46,94.43,13.39,2.92,43.78,459.36,25.69,14,10.404,1009
Jaipur,1772600400,48.7,92.19,12.23,3.19,54.67,464.16,25.69,14,10.404,1009
Jaipur,1772604000,53.54,98.18,10.91,3.6,81.13,457.57,25.69,14,10.404,1009
Jaipur,1772607600,38.83,91.54,1.72,3.52,149.79,200.87,25.69,14,10.404,1009
Jaipur,1772611200,35.64,88.19,0.93,2.68,150.54,166.12,25.69,14,10.404,1009
Jaipur,1772614800,35.22,88.39,0.91,2.56,149.14,158.54,25.69,14,10.404,1009
Jaipur,1772618400,36.27,89.17,2.31,2.65,142.08,172.23,25.69,14,10.404,1009
